Volumes,Contributor,Title,Year,Publisher,PB page / refs,Best confidence,Search tier
3,Donald Weber,Interrogations,,,,Very high,CORE
2,Donigan Cumming,The Stage,1991,"Maquam Press. Montreal, 1991",V2: 117,Very high,CORE
2,Donovan Wylie,The Maze,2004,"Granta Books, London, 2004",V2: 286,Very high,CORE
3,Doug Rickard,A New American Picture,2010,,,Very high,CORE
1,"Drtikol, Frantisek",Žena ve světle,,,V1: 79,High provisional,CORE
1,"Du Camp, Maxime","Egypte, nubie, palestine et syrie",,,V1: 23,High provisional,CORE
1,"Duchenne de Boulogne, Guillaume-Benjamin",Mécanisme de la physionomie humaine,,,V1: 50,High provisional,CORE
3,Eamonn Doyle,i,2014,D1,,High,CORE
1,"Eder, Josef Maria / Valenta, Eduard",Versuche über Photographie mittelst der Röntgen’schen Strahlen,,,V1: 52-3,High provisional,CORE
2,Edward (Ed) Ruscha,Every Building on the Sunset Strip,1966,"Edward Ruscha, Los Angeles, California, 1966",V2: 143,Very high,CORE
2,Edward (Ed) Ruscha,Some Los Angeles Apartments,1965,"Edward Ruscha, Los Angeles, California, 1965 (edition of 700)",V2: 141,Very high,CORE
2,Edward (Ed) Ruscha,Thirtyfour Parking Lots: in Los Angeles,1967,"Edward Ruscha, Los Angeles, California, 1967",V2: 141,Very high,CORE
2,Edward (Ed) Ruscha,Twentysix Gasoline Stations,1963,"Edward Ruscha, Los Angeles, California, 1963 (edition of 400)",V2: 140,Very high,CORE
2,Edward (Ed) Ruscha,Various Small Fires and Milk,1964,"Edward Ruscha, Los Angeles, California, 1964 (edition of 400)",V2: 140,Very high,CORE
2,Edward Steichen,The Family of Man,1955,"Simon and Schuster for the Museum of Modern Art, New York, 1955 (special edition published by the Book of the Month Club shown here)",V2: 218,Very high,CORE
1,"Eggleston, William",William Eggleston’s Guide,,,V1: 265,High provisional,CORE
1,"Ehrenburg, Ilya",Moi Parizh,,,V1: 132-3,High provisional,CORE
1,"Ehrenburg, Ilya","¡No Pasarán! Ispania, Tom II",,,V1: 139,High provisional,CORE
1,"Ehrenburg, Ilya / Lissitsky, El",6 Provesti o Legkikh Konstakh,,,V1: 85,Medium provisional,BROAD
1,"Ehrhardt, Alfred",Das Watt,,,V1: 112,High provisional,CORE
1,"Emerson, Peter Henry",Marsh Leaves,,,V1: 72,High provisional,CORE
1,"Emerson, Peter Henry",Naturalistic Photography for Students of the Art,,,V1: 63-4,Medium provisional,BROAD
1,"Emerson, Peter Henry",On English Lagoons,,,V1: 64,Medium provisional,BROAD
1,"Emerson, Peter Henry",Pictures of East Anglia,,,V1: 64,Medium provisional,BROAD
1,"Emerson, Peter Henry / Goodall, Thomas Frederick",Life and Landscape on the Norfolk Broads,,,"V1: 70-1, 70-71",High provisional,CORE
2,Enrique Bostelmann,América: un viaje a través de la injusticia (America: A Journey Through Injustice),1970,"Siglo XXI Editores, Mexico City, 1970",V2: 110,Very high,CORE
2,"Enzo Aresani, Fernando Fondi, Caterina Ossola",Ignis 25,1969,"Renato Padovan, Vittorio Ponti and Giuseppe Tanzi, eds Ignis, Varese, 1969",V2: 198,Very high,CORE
3,Erich Einhorn / Pravoslav Sovak / Pavel Kohout,Mariánské Lázně,1960,Krajske nakladatelstvi,,Medium,BROAD
3,Erik Kessels,In Almost Every Picture (series title represented in Volume III),,,,High,CORE
2,Ernest Cole,House of Bondage,1967,"Own Pictures and Words the Bitter Life of His Homeland Today Random House, Toronto, 1967",V2: 106,Very high,CORE
2,Ernst Friedrich,Krieg dem Kriege! War Against War!,1924,"Freie Jugend, Berlin, 1924",V2: 213,Very high,CORE
2,Esko Mannikko,Naarashauki: The Female Pike,2000,"Esko Männikkö, Helsinki, 2000",V2: 79,Very high,CORE
2,Eugene Richards,Dorchester Days,1978; 2000,"Many Voices Press, Wollaston, Massachusetts, 1978 (republished by Phaidon Press in an expanded and redesigned edition, London, 2000)",V2: 30,Very high,CORE
2,Eugene Richards,The Fat Baby,2004,"Phaidon Press, London, 2004",V2: 31,Very high,CORE
1,"Evans, Walker",American Photographs,,,V1: 114-15,High provisional,CORE
1,"Evans, Walker",Many are Called,,,V1: 253,High provisional,CORE
1,"Fargue, Léon-Paul / Parry, Roger",Banalité,,,V1: 100-1,High provisional,CORE
1,"Federov, I V",SSSR Stroit Sotsialism,,,V1: 155,High provisional,CORE
3,Felix Greene,Vietnam! Vietnam!,1966,Fulton,V3: 193,Medium,BROAD
1,"Fenton, Roger",Photographs Taken Under the Patronage of Her Majesty the Queen in the Crimea,,,V1: 43,High provisional,CORE
1,"Ferrier, Claude-Marie / Owen, Hugh",Reports by the Juries,,,"V1: 15, 42",Medium provisional,BROAD
2,"Florian Böhm, Luca Pizzaroni and Wolfgang Scheppe",Endcommercial,2002,"Hatje Cantz, Ostfildern-Ruit, 2002",V2: 325,Very high,CORE
2,"Franco Basaglia and Franca Basaglia Ongaro, eds",Morire di classe,1969,"(Death of a Class: The State of the Mental Institution) Giulio Einaudi Editore, Turin, 1969",V2: 246,Very high,CORE
3,Franco Ortolani,La festa del Parco Lambro,1978,Mastrogiacomo,V3: 86,Medium,BROAD
1,"Frank, Robert",Flower Is,,,V1: 264,High provisional,CORE
1,"Frank, Robert",Les Américains,,,V1: 247,High provisional,CORE
1,"Frank, Robert",The Americans,,,"V1: 4, 247",Medium provisional,BROAD
1,"Frank, Robert",The Lines of My Hand,,,V1: 261,High provisional,CORE
1,"Friedlander, Lee",Self Portrait,,,V1: 258,Medium provisional,BROAD
1,"Frith, Francis",Egypt and Palestine,,,V1: 28,High provisional,CORE
1,"Frith, Francis","Egypt, Sinai and Jerusalem",,,V1: 28,Medium provisional,BROAD
1,"Fukase, Masahisa",Karasu,,,V1: 306,High provisional,CORE
2,Gabriele Basilico,Porti di Mare,1990,"Art&, Udine, 1990",V2: 62,Very high,CORE
1,"Gardner, Alexander",Gardner's Photographic Sketchbook of the War,,,V1: 44,High provisional,CORE
2,Garry Winogrand,Public Relations,1977,"Museum of Modern Art, New York, 1977",V2: 29,Very high,CORE
2,Gary Lee Boas,Starstruck,1999,"Dilettante Press, Los Angeles, 1999",V2: 311,Very high,CORE
3,Geert van Kesteren,Baghdad Calling,2008,episode publishers,,High,CORE
2,Geert van Kesteren,"Why Mister, Why?",2004,"Artimo, Amsterdam, 2004 (published as English-Arabic and Dutch-Arabic editions)",V2: 258,Very high,CORE
1,"Genthe, Arnold",Pictures of Old Chinatown,,,V1: 75,High provisional,CORE
2,George Hashiguchi,Juunanasai no chizu,1988,"Bungeishunju, Tokyo, 1988",V2: 301,Very high,CORE
2,Gerhard Richter,Atlas: Of the Photographs Collages and Sketches,1997,"DAP, New York, in association with Anthony d'Offay Gallery, London and Marian Goodman Gallery, New York, 1997",V2: 172,Very high,CORE
1,"Ghirri, Luigi",Kodachrome,,,V1: 231,High provisional,CORE
3,Gian Butturini,London,1969,SAF,,High,CORE
1,"Gibson, Ralph",Days at Sea,,,V1: 237,Medium provisional,BROAD
1,"Gibson, Ralph",Déjà vu,,,V1: 237,Medium provisional,BROAD
1,"Gibson, Ralph",The Somnambulist,,,"V1: 237, 259",Medium provisional,BROAD
2,Gilbert & George,Dark Shadow,1974,"Art for All, London, 1974",V2: 153,Very high,CORE
2,Gilles Peress,Telex Persan,1984,"Contrejour, Paris, 1984 (also published as Telex Iran In the Name of Revolution by Aperture, Millerton, New York, 1984)",V2: 253,Very high,CORE
3,Ginger Gordon & William Levy,The Virgin Sperm Dancer,1972,Uitgeverij Bert Bakker,,High,CORE
2,Gordon Matta-Clark,Walls paper,1973,"Buffalo Press, New York, 1973",V2: 149,Very high,CORE
1,"Gorfunkel, V M",Moskva Rekonstruiruetsya,,,V1: 168-9,Medium provisional,BROAD
1,"Graff, Werner",Es kommt der neue Fotograf!,,,"V1: 83, 98-9",High provisional,CORE
1,"Greene, John Beasley",Le Nil — monuments - paysages,,,"V1: 16, 24",Medium provisional,BROAD
3,Gregoire Pujade-Lauraine,A Perpetual Season,,,,High,CORE
1,"Groebli, René",Magie der Schiene,,,V1: 204,High provisional,CORE
2,Guido Guidi,Varianti,1995,"Art&, Udine, 1995",V2: 80,Very high,CORE
1,"Gutschow, Arvid",See - Sand - Sonne,,,V1: 112,Medium provisional,BROAD
3,Guy Tillim,Avenue Patrice Lumumba,2008,Prestel,V3: 125,Medium,BROAD
2,Hamish Fulton,Hamish Fulton,1974,"Franco Toselli, Milan, 1974",V2: 152,Very high,CORE
2,Hans Aarsman,Hollandse Taferelen,1989,"Fragment Uitgeverij. Amsterdam, 1989",V2: 69,Very high,CORE
2,"Hans Aarsman, Claudie de Cleen, Julian Germain",Useful Photography #002,2002,"Erik Kessels and Hans van der Meer, eds Artimo, Amsterdam, 2002",V2: 233,Very high,CORE
3,Hans Eijkelboom,Portraits and Cameras. 1949-2009,2009,Self published,,High,CORE
2,Hans Peter Feldmann,11 Bilder (11 Pictures),1969,"Galerie Paul Maenz, Cologne, 1969",V2: 160,Very high,CORE
2,Hans Peter Feldmann,Bilder (Pictures),1971,"Galerie Paul Maenz, Cologne, 1971",V2: 158,Very high,CORE
2,Hans Peter Feldmann,Der Überfall (The Heist),1975,"Wolfgang Hake Verlag, Cologne, 1975 (edition of 350)",V2: 157,Very high,CORE
2,Hans Peter Feldmann,Die Toten 1967-1993 (The Dead 1967-1993),1998,"Feldmann Verlag, Düsseldorf, 1998",V2: 157,Very high,CORE
2,Hans van der Meer,Hollandse Velden,1998,"De Verbeelding, Amsterdam, 1998",V2: 85,Very high,CORE
2,Harry Callahan,Water's Edge,1980,"Callaway Editions, Lyme, Connecticut, 1980",V2: 33,Very high,CORE
3,Heinrich Hoffmann (ed.),Winterhilfswerk-Heftchen (Winter Relief Fund Booklets),1937-1941,,V3: 23,Very high,CORE
2,Heinrich Riebesehl,Agrarlandschaften (Agricultural Landscapes),1979,"Verlag JH Schmalfeldt and Heinrich Riebesehl, Bremen, 1979",V2: 267,Very high,CORE
1,"Heisler, Jindřich",Na jehlach těchto dní,,,V1: 197,Medium provisional,BROAD
2,Hellen van Meene,Untitled,2000,"Gabrius Edizione, Milan, 2000.",V2: 84,Very high,CORE
1,"Helmer-Petersen, Keld",122 Farvefotografier,,,V1: 202-3,High provisional,CORE
1,"Henning, Paul",Beautiful Things Around You,,,V1: 102,Medium provisional,BROAD
