"Record ID","Contributor","Contributor aliases","Title","Title aliases","Year","Publisher","ISBN","Canon sources","Collectibility tier","Search priority","First edition notes","Strong buy GBP","Bargain GBP","Evidence confidence","Source","Search tier","Collector profile","Documentary relevance","First monograph","Collectible variants","Special edition priority","Awards and evidence"
"contemporary:sophie-green-tangerine-dreams","Sophie Green","","Tangerine Dreams","","2025","Sophie Green","","Curated contemporary documentary","A","0","Original March 2025 first edition was limited to 150 copies; distinguish from the 2026 second edition of 500.","","","HIGH","https://www.sophiegreenphotography.com/bio-info","CORE","British social documentary | community | colour | subculture","HIGH","NO","2025 first edition of 150 | 2026 second edition of 500","HIGH","Martin Parr Foundation exhibition in 2026 | long-term documentary portrait of contemporary Britain"
"contemporary:sophie-green-congregation","Sophie Green","","Congregation","","2019","Loose Joints","","Curated contemporary documentary","A","0","First edition published April 2019 in an edition of 700.","","","HIGH","https://www.sophiegreenphotography.com/new-gallery-2","CORE","British social documentary | faith | community | colour","HIGH","NO","First edition of 700","HIGH","Institutional exhibitions include the National Portrait Gallery and V&A"
"contemporary:sophie-green-dented-pride","Sophie Green","","Dented Pride","","2016","","","Curated contemporary documentary","B","1","Earliest of Green's three listed books; verify colophon and completeness.","","","MEDIUM","https://www.sophiegreenphotography.com/bio-info","CORE","British social documentary | banger racing | subculture | colour","HIGH","YES","Early self-published or small-run edition","MEDIUM","Early book by a respected British documentary photographer"
"contemporary:mark-neville-port-glasgow","Mark Neville","","The Port Glasgow Book Project","Port Glasgow","2004","Self-published","","Curated contemporary documentary | Parr/Badger Vol. III","A","0","Hardback project book distributed free to all 8,000 Port Glasgow households rather than sold commercially.","","","HIGH","https://www.markneville.com/the-port-glasgow-book-project","CORE","British social documentary | post-industrial community | socially engaged practice","HIGH","YES","Original non-commercial distribution of 8,000 copies","HIGH","Exhibited in Parrworld and documented in Parr/Badger Vol. III"
"contemporary:lua-ribeira-noises","Lúa Ribeira","Lua Ribeira","Noises in the Blood","Noises","2017","Fishbar Books","","Curated contemporary documentary","A","0","Limited Leporello publication made for the Fishbar exhibition; verify all panels and issued components.","","","HIGH","https://fishbar.ph/shop/xhzlw67pn0pgie99nj53uvenpwg7ak","CORE","British Jamaican culture | gender | community | performative documentary","HIGH","YES","Limited-edition Leporello book","HIGH","Jerwood/Photoworks Award | Firecracker Grant"
"contemporary:matt-black-american-geography","Matt Black","","American Geography","","2021","Thames & Hudson","","Curated contemporary documentary","A","0","Original 2021 monograph; verify printing and any signed or special issue.","","","HIGH","https://www.thamesandhudson.com/products/american-geography","CORE","American social documentary | poverty | landscape | inequality","HIGH","YES","Signed copies and publisher or artist editions may occur","MEDIUM","Magnum documentary project made across 46 states over five years"
"contemporary:deanna-dikeman-leaving-waving","Deanna Dikeman","","Leaving and Waving","Leaving & Waving","2021","Chose Commune","","Curated contemporary documentary","A","0","Identify the first printing; the publisher announced a third reprint in 2022.","","","HIGH","https://chosecommune.com/book/deanna-dikeman-leaving-and-waving","CORE","family documentary | ageing | loss | vernacular intimacy","HIGH","YES","First printing preferred; later reprints documented","HIGH","Widely recognised long-term family documentary sequence"
"contemporary:cristina-de-middel-afronauts","Cristina de Middel","","The Afronauts","Afronauts","2012","Self-published","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook finalist","S","0","Target the scarce self-published 2012 first edition; later editions and anniversary issues exist.","","","HIGH","https://martinparrfoundation.org/product/the-afronauts/","CORE","conceptual documentary | African history | archival fiction","MEDIUM","YES","Signed copies may include drawings | later special editions with an original signed photograph","HIGH","Deutsche Börse finalist | ICP Infinity Award | recognised contemporary classic"
"contemporary:alejandro-cartagena-carpoolers","Alejandro Cartagena","","Carpoolers","","2014","Self-published","","Curated contemporary documentary","A","0","Target the 2014 first edition; substantially redesigned later editions are separate collectible objects.","","","HIGH","https://www.sfmoma.org/exhibition/alejandro-cartagena-ground-rules/","CORE","socially incisive documentary | labour | urbanism | Mexico","HIGH","NO","Multiple artist-designed editions | signed copies and print sets exist","HIGH","Described by SFMOMA as a celebrated and socially incisive photobook"
"contemporary:dana-lixenberg-imperial-courts","Dana Lixenberg","","Imperial Courts 1993-2015","Imperial Courts","2015","Roma Publications","","Curated contemporary documentary","A","0","Target the original Roma Publications edition and verify printing.","","","HIGH","https://www.romapublications.org/?book=imperial-courts-1993-2015-dana-lixenberg","CORE","long-term community portrait | Watts | inequality | collaborative documentary","HIGH","NO","Signed first editions may occur","MEDIUM","Long-term 4x5 portrait of the Imperial Courts community"
"contemporary:jamie-hawkesworth-british-isles","Jamie Hawkesworth","","The British Isles","British Isles","2021","MACK","","Curated contemporary documentary","A","0","Verify the original MACK edition rather than a later printing.","","","HIGH","https://mackbooks.co.uk/collections/special-editions","CORE","British documentary | portraiture | contemporary society | colour","HIGH","NO","MACK special edition with a print","HIGH","MACK special-edition programme | respected contemporary British photographer"
"contemporary:rahim-fortune-cant-stand","Rahim Fortune","","I can't stand to see you cry","I cant stand to see you cry","2021","Loose Joints","9781912719259","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year nominee","A","0","First printing April 2021; distinguish from the September 2022 second printing.","","","HIGH","https://loosejoints.biz/products/see-you-cry","CORE","family documentary | Texas | race | health | environmental injustice","HIGH","YES","Special edition of the first printing with an 8x10 print","HIGH","Rencontres d'Arles Louis Roederer Discovery Award 2022"
"contemporary:jack-davison-photographs","Jack Davison","","Photographs","","2019","Loose Joints","9781912719076","Curated contemporary documentary","A","0","Original Loose Joints edition; verify printing and all special-edition components.","","","HIGH","https://loosejoints.biz/products/photographs","CORE","British portraiture | street observation | contemporary photographic language","MEDIUM","YES","Out-of-print special edition with one of two 8x10 prints, handmade box, poster and enamel pin","HIGH","Established first monograph with a sold-out print edition"
"contemporary:chloe-dewe-mathews-thames-log","Chloe Dewe Mathews","Chloë Dewe Mathews","Thames Log","","","Loose Joints","","Curated contemporary documentary","A","0","Verify first edition and completeness of any boxed special issue.","","","HIGH","https://loosejoints.biz/products/thames-log-special-edition","CORE","British documentary | river culture | ritual | landscape","HIGH","NO","Signed first edition in a hand-painted box with an archival pigment print; print edition of 30 plus 5 APs","HIGH","Publisher-documented special edition with artist-proof states"
"contemporary:daniel-shea-blisner-il","Daniel Shea","","Blisner, IL","Blisner IL","2014","Fourteen Nineteen","9780957381032","Curated contemporary documentary","A","0","First edition September 2014; distinguish the special issue and verify its print.","","","HIGH","https://loosejoints.biz/products/blisner-il","CORE","post-industrial documentary | Rust Belt | deindustrialisation | landscape","HIGH","NO","Special edition of 50 with one of ten C-type prints, each print from an edition of 5","HIGH","Trade edition sold out | highly constrained print edition"
"contemporary:jet-swan-material","Jet Swan","","Material","","2021","Loose Joints","9781912719112","Curated contemporary documentary","B","1","Original September 2021 edition; verify printing.","","","HIGH","https://loosejoints.biz/products/jet-swan","CORE","portraiture | bodies | work | contemporary Britain","MEDIUM","YES","Special edition with one of two 8x10 prints, each in an edition of 50","HIGH","Publisher-documented first monograph and print edition"
"contemporary:jeffrey-silverthorne-morgue","Jeffrey Silverthorne","","Morgue","","2017","Stanley/Barker","9780995555563","Curated contemporary documentary","A","0","September 2017 edition; special issue must retain the signed silver print.","","","HIGH","https://www.stanleybarker.co.uk/products/morgue-jeffrey-silverthorne","CORE","documentary | mortality | institutional space | human condition","HIGH","NO","Special edition of 15 with a signed 8x10 silver print","HIGH","Extremely small publisher-documented print edition"
"contemporary:daniel-arnold-you-are-what-you-do","Daniel Arnold","","You Are What You Do","","2025","Loose Joints","9781912719709","Curated contemporary documentary","A","0","Original November 2025 edition; verify special-edition print choice and completeness.","","","HIGH","https://loosejoints.biz/products/you-are-what-you-do","CORE","street photography | New York | humanist documentary | contemporary life","HIGH","NO","Special edition with two pigment prints","HIGH","Major monograph by a respected contemporary street photographer"
"contemporary:keisha-scarville-passports","Keisha Scarville","","Passports","","2026","MACK","","Curated contemporary documentary | Rencontres d'Arles Author Book Award winner 2026","A","0","Original 2026 MACK edition; verify signing and printing.","","","HIGH","https://www.rencontres-arles.com/en/the-2026-book-awards-winners","CORE","family archive | migration | Caribbean diaspora | identity","HIGH","NO","Signed copies from documented 2026 launch events","MEDIUM","Rencontres d'Arles Author Book Award winner 2026"
"contemporary:taysir-batniji-disruptions","Taysir Batniji","","Disruptions","","2024","Loose Joints","","Curated contemporary documentary | Paris Photo-Aperture PhotoBook of the Year winner 2024","A","0","Original 2024 Loose Joints edition.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2024-photobook-awards/","CORE","Gaza | family | conflict | communication | conceptual documentary","HIGH","NO","Signed first editions may occur","MEDIUM","Paris Photo-Aperture PhotoBook of the Year winner 2024"
"contemporary:buck-ellison-living-trust","Buck Ellison","","Living Trust","","2020","Loose Joints","9781912719174","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2020","A","0","First edition April 2020; verify printing and any accompanying print.","","","HIGH","https://loosejoints.biz/products/buck-ellison-living-trust","CORE","class | wealth | privilege | staged social documentary","HIGH","YES","Special edition with a print","HIGH","Paris Photo-Aperture First PhotoBook winner 2020"
"contemporary:sabiha-cimen-hafiz","Sabiha Çimen","Sabiha Cimen","HAFIZ","Hafiz","2022","Red Hook Editions","","Curated contemporary documentary | Paris Photo-Aperture First PhotoBook winner 2022","A","0","Target the original Red Hook Editions issue and verify binding and printing.","","","HIGH","https://aperture.org/editorial/announcing-the-winners-of-the-2022-photobook-awards/","CORE","girls' education | faith | Turkey | colour documentary","HIGH","YES","Signed first editions may occur","MEDIUM","Paris Photo-Aperture First PhotoBook winner 2022"
