Record ID,Contributor,Contributor aliases,Title,Title aliases,Year,Publisher,ISBN,Canon sources,Collectibility tier,Search priority,First edition notes,Strong buy GBP,Bargain GBP,Evidence confidence,Source,Search tier
openlibrary:OL44996045W,池田陽子,Nazraeli Press,Monkey puzzle,,2015,Nazraeli Press,,Specialist photography publisher backlist: Nazraeli Press,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL44996045W,BROAD
openlibrary:OL21040188W,A-Chan,,A-Chan,,2012,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21040188W,BROAD
openlibrary:OL21088406W,A-chan,,A-Chan - Salt'N Vinegar,,2015,Steidl,,Specialist photography publisher backlist: Steidl,C,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL21088406W,BROAD
openlibrary:OL1824119W,A. D. Coleman,,Critical Focus,,1995,Nazraeli Press,,Specialist photography publisher backlist: Nazraeli Press,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL1824119W,BROAD
openlibrary:OL1824121W,A. D. Coleman,,The Digital Evolution,,1998,Nazraeli Press,,Specialist photography publisher backlist: Nazraeli Press,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL1824121W,BROAD
openlibrary:OL8937173W,a J Wilkinson,,Driving Blind,,2004,Dewi Lewis,,Specialist photography publisher backlist: Dewi Lewis,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL8937173W,BROAD
openlibrary:OL33082593W,Aaron Ruell,,Some photos,,2007,Nazraeli Press,,Specialist photography publisher backlist: Nazraeli Press,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL33082593W,BROAD
openlibrary:OL25636218W,Aaron Schuman,,Aaron Schuman - Slant,,2019,MACK,,Specialist photography publisher backlist: MACK,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL25636218W,BROAD
openlibrary:OL31870238W,Aaron Schuman,,Sonata,,2022,MACK,,Specialist photography publisher backlist: MACK,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL31870238W,BROAD
openlibrary:OL25894867W,Abelardo Morell,,Continuum,,2019,Yoffy Press,,Specialist photography publisher backlist: Yoffy Press,B,4,Work-level metadata only; verify the exact publisher edition and printing.,,,Medium,https://openlibrary.org/works/OL25894867W,BROAD
