Record ID,Contributor,Contributor aliases,Title,Title aliases,Year,Publisher,ISBN,Canon sources,Collectibility tier,Search priority,First edition notes,Strong buy GBP,Bargain GBP,Evidence confidence,Source,Search tier,Collector profile,Documentary relevance,First monograph,Collectible variants,Special edition priority,Awards and evidence,Unicorn tier,Radar query,Radar notes
bill-brandt-night-london-1938,Bill Brandt,,A Night in London,Night in London,1938,,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target the 1938 first edition. Verify original binding and jacket where present.,,,HIGH,Parr/Badger and collector curation,CORE,British social documentary | London | night,HIGH,,Original first edition; original jacket if present,HIGH,,A,Bill Brandt A Night in London,High-value first-edition target; reject later reprints.
cartier-bresson-images-sauvette-1952,Henri Cartier-Bresson,Cartier Bresson,Images à la Sauvette,Images a la Sauvette | The Decisive Moment,1952,Éditions Verve,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,Target the 1952 Verve French first with Matisse-designed boards and complete caption booklet; distinguish later editions.,,,HIGH,Roth 101 and collector curation,CORE,humanist documentary | street | Europe,HIGH,,Matisse boards; captions booklet; original jacket,HIGH,,A,Images a la Sauvette Cartier Bresson,True Verve first is the grail target.
robert-frank-les-americains-1958,Robert Frank,,Les Américains,Les Americains | The Americans,1958,Robert Delpire,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target the 1958 Delpire first edition with Saul Steinberg cover; distinguish the 1959 Grove Press American edition and later reissues.,,,HIGH,Parr/Badger and collector curation,CORE,documentary | street | America,HIGH,,Original 1958 Delpire issue,HIGH,,A,Robert Frank Les Americains,French first only for Tier A.
brassai-paris-nuit-1933,Brassaï,Brassai,Paris de Nuit,Paris by Night,1933,Arts et Métiers Graphiques,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,Target the 1933 first edition in original spiral-bound photographic flexible boards.,,,HIGH,Roth 101 and collector curation,CORE,street | nightlife | Paris,HIGH,,Original spiral binding and covers,HIGH,,A,Brassai Paris de Nuit,Check spiral completeness and cover condition.
august-sander-antlitz-zeit-1929,August Sander,,Antlitz der Zeit,Face of Our Time,1929,Transmare Verlag / Kurt Wolff,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,Target the 1929 first edition in yellow cloth with original printed dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,portraiture | social typology | Germany,HIGH,,Original dust jacket,HIGH,,A,August Sander Antlitz der Zeit,Jacket is a major value component.
hiroshi-hamaya-yukiguni-1956,Hiroshi Hamaya,Hamaya Hiroshi,Yukiguni,雪国 | Snow Land,1956,Mainichi Shimbunsha,,Pre-1970 Unicorn Radar,S,0,"Target the 1956 Japanese first edition; verify jacket, slipcase and any original accompanying material.",,,HIGH,National Diet Library and collector curation,CORE,Japanese documentary | rural life | snow country,HIGH,,Jacket; slipcase; complete first edition,HIGH,,A,Hamaya Yukiguni Snow Land,Japanese first is the target.
ken-domon-hiroshima-1958,Ken Domon,Domon Ken,Hiroshima,,1958,Kenko-sha,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target the 1958 first edition. Verify original dust jacket and slipcase where issued.,,,HIGH,Parr/Badger and collector curation,CORE,Japanese documentary | postwar | social,HIGH,,Original jacket and slipcase,HIGH,,A,Ken Domon Hiroshima,Reject later Hiroshima-related Domon books.
walker-evans-american-photographs-1938,Walker Evans,,American Photographs,,1938,Museum of Modern Art,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,Target the 1938 MoMA first edition. Original dust jacket and yellow belly band materially increase collectibility.,,,HIGH,Roth 101 and collector curation,CORE,American documentary | social observation,HIGH,,Dust jacket; belly band,HIGH,,A,Walker Evans American Photographs,True 1938 MoMA first only.
decarava-sweet-flypaper-1955,Roy DeCarava and Langston Hughes,Roy DeCarava | Langston Hughes,The Sweet Flypaper of Life,Sweet Flypaper of Life,1955,Simon and Schuster,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,"Target the 1955 first edition, especially the scarce hardbound issue with original photographic dust jacket.",,,HIGH,Roth 101 and collector curation,CORE,humanist documentary | Harlem | family | community,HIGH,,Scarce hardcover issue; original dust jacket,HIGH,,A,DeCarava Sweet Flypaper Life,Hardcover plus jacket is the priority.
weegee-naked-city-1945,Weegee,Arthur Fellig,Naked City,,1945,Essential Books,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,Target the 1945 first edition/first printing in black cloth with genuine original photographic dust jacket.,,,HIGH,Roth 101 and collector curation,CORE,street | crime | nightlife | New York,HIGH,,Original first-issue dust jacket,HIGH,,A,Weegee Naked City,Watch for facsimile or replacement jackets.
brodovitch-ballet-1945,Alexey Brodovitch,,Ballet,,1945,J. J. Augustin,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,"Target the 1945 first edition from the approximately 500-copy issue, ideally with original gray French-fold dust jacket and slipcase if present.",,,HIGH,Roth 101 and collector curation,CORE,documentary expressionism | movement | performance,HIGH,,Original French-fold dust jacket; scarce slipcase,HIGH,,A,Brodovitch Ballet,One of the strongest miscataloguing targets.
kawada-map-1965,Kikuji Kawada,,The Map,Chizu | 地図,1965,Bijutsu Shuppan-sha,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,"Target the 1965 first edition, 700-copy issue, with original dust jacket, belly band and folded broadside.",,,HIGH,Roth 101 and collector curation,CORE,Japanese postwar documentary | memory | abstraction,HIGH,,Dust jacket; belly band; folded broadside,HIGH,,A,Kawada The Map,Completeness is critical.
hosoe-killed-roses-1963,Eikoh Hosoe and Yukio Mishima,Eikoh Hosoe | Yukio Mishima,Killed By Roses,Killed by Roses | Barakei | 薔薇刑,1963,Shueisha,,Pre-1970 Unicorn Radar | Roth 101 | Parr/Badger,S,0,"Target the 1963 first edition, one of 1,500 numbered copies, signed by Hosoe and Mishima, with acetate jacket and original box.",,,HIGH,Roth 101 and collector curation,CORE,Japanese avant-garde | portraiture | performance,MEDIUM,,Signed; numbered; acetate jacket; box,HIGH,,A,Hosoe Killed by Roses,1963 original issue only.
moriyama-japan-photo-theater-1968,Daido Moriyama,,Japan: A Photo Theater,Japan A Photo Theatre | Nippon Gekijo Shashincho | にっぽん劇場写真帖,1968,Muromachi Shobo,,Pre-1970 Unicorn Radar | Parr/Badger,S,0,Target Moriyama's 1968 first book in original wrappers and slipcase.,,,HIGH,Parr/Badger and collector curation,CORE,Japanese street | postwar | expressionist documentary,HIGH,YES,Original slipcase,HIGH,,A,Moriyama Japan Photo Theater,First edition of Moriyama's first book.
