Record ID,Contributor,Contributor aliases,Title,Title aliases,Year,Publisher,ISBN,Canon sources,Collectibility tier,Search priority,First edition notes,Strong buy GBP,Bargain GBP,Evidence confidence,Source,Search tier
william-klein-new-york,William Klein,,Life Is Good & Good for You in New York,New York | Life Is Good and Good for You in New York,,,,Priority seed,S,0,,,,High,Priority seed,CORE
william-eggleston-guide,William Eggleston,,William Eggleston's Guide,William Egglestons Guide | Eggleston's Guide | Egglestons Guide,1976,,,Priority seed,S,0,,,,High,Priority seed,CORE
william-eggleston-election-eve,William Eggleston,,Election Eve,,,,,Priority seed,A,0,,,,High,Priority seed,CORE
william-eggleston-los-alamos,William Eggleston,,Los Alamos,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
stephen-shore-uncommon-places,Stephen Shore,,Uncommon Places,,1982,,,Priority seed,S,0,,,,High,Priority seed,CORE
stephen-shore-american-surfaces,Stephen Shore,,American Surfaces,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
robert-frank-americans,Robert Frank,,The Americans,Americans,,,,Priority seed,S,0,,,,High,Priority seed,CORE
robert-frank-lines,Robert Frank,,The Lines of My Hand,Lines of My Hand,,,,Priority seed,A,1,,,,High,Priority seed,CORE
alec-soth-sleeping,Alec Soth,,Sleeping by the Mississippi,,2004,,,Priority seed,S,0,,,,High,Priority seed,CORE
alec-soth-niagara,Alec Soth,,Niagara,,2006,Steidl,,Priority seed,A,0,"Target the 2006 Steidl first edition; later MACK editions are reissues.",,,High,https://alecsoth.com/photography/projects/niagara,CORE
alec-soth-broken-manual,Alec Soth,,Broken Manual,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
sally-mann-immediate-family,Sally Mann,,Immediate Family,,1992,,,Priority seed,S,0,,,,High,Priority seed,CORE
joel-sternfeld-american-prospects,Joel Sternfeld,,American Prospects,,,,,Priority seed,S,0,,,,High,Priority seed,CORE
richard-avedon-observations,Richard Avedon,,Observations,,1959,,,Priority seed,S,0,,,,High,Priority seed,CORE
richard-avedon-american-west,Richard Avedon,,In the American West,,,,,Priority seed,S,0,,,,High,Priority seed,CORE
james-agee-walker-evans-famous-men,James Agee and Walker Evans,"Agee, James | Evans, Walker",Let Us Now Praise Famous Men,,1941,"Houghton Mifflin, Boston",,Priority seed,S,0,"Target the 1941 Houghton Mifflin first edition; later Picador and other reprints are reading copies rather than the collectible target.",,,High,Open Library OL6419779M and William Reese Company first-edition record,CORE
diane-arbus-monograph,Diane Arbus,,Diane Arbus,"Diane Arbus: An Aperture Monograph | Diane Arbus Aperture Monograph",1972,"Aperture, New York",,Priority seed,S,0,"Target the 1972 Aperture first edition and verify the printing and issue points; later anniversary editions are not equivalent.",,,High,Fraenkel Gallery publication history and Aperture bibliographic records,CORE
larry-clark-tulsa,Larry Clark,,Tulsa,,1971,,,Priority seed,S,0,,,,High,Priority seed,CORE
nan-goldin-ballad,Nan Goldin,,The Ballad of Sexual Dependency,Ballad of Sexual Dependency,,,,Priority seed,S,0,,,,High,Priority seed,CORE
richard-billingham-rays,Richard Billingham,,Ray's a Laugh,Rays a Laugh,,,,Priority seed,S,0,,,,High,Priority seed,CORE
jim-goldberg-raised,Jim Goldberg,,Raised by Wolves,,1995,,,Priority seed,S,0,,,,High,Priority seed,CORE
robert-mapplethorpe-black-book,Robert Mapplethorpe,,Black Book,,1986,,,Priority seed,S,0,,,,High,Priority seed,CORE
susan-meiselas-carnival,Susan Meiselas,,Carnival Strippers,,1976,,,Priority seed,S,0,,,,High,Priority seed,CORE
paul-graham-a1,Paul Graham,,A1: The Great North Road,A1 The Great North Road | A1,1983,Grey Editions,,Priority seed,S,0,"Target the scarce 1983 self-published Grey Editions first; 2020 and later MACK printings are reissues.",,,High,https://mackbooks.co.uk/products/a1-the-great-north-road-br-paul-graham-first-edition-second-printing,CORE
paul-graham-beyond-caring,Paul Graham,,Beyond Caring,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
paul-graham-troubled-land,Paul Graham,,Troubled Land,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
chris-killip-in-flagrante,Chris Killip,,In Flagrante,,1988,,,Priority seed,S,0,,,,High,Priority seed,CORE
ed-van-der-elsken-love-left-bank,Ed van der Elsken,Ed Van Der Elsken,Love on the Left Bank,Een Liefdesgeschiedenis in Saint Germain des Prés | Saint-Germain des-Prés,,,,Priority seed,S,0,,,,High,Priority seed,CORE
josef-koudelka-gypsies,Josef Koudelka,Joseph Koudelka,Gypsies,Gitans,,,,Priority seed,S,0,,,,High,Priority seed,CORE
josef-koudelka-exiles,Josef Koudelka,Joseph Koudelka,Exiles,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
daido-moriyama-farewell,Daido Moriyama,,Farewell Photography,Shashin yo Sayonara | Bye Bye Photography Dear,,,,Priority seed,S,0,,,,High,Priority seed,CORE
daido-moriyama-photo-theater,Daido Moriyama,,Japan: A Photo Theater,Nippon Gekijo Shashincho,,,,Priority seed,S,1,,,,High,Priority seed,CORE
shomei-tomatsu-nagasaki,Shomei Tomatsu,Tomatsu Shomei,11:02 Nagasaki,11.02 Nagasaki | 11 02 Nagasaki,,,,Priority seed,S,0,,,,High,Priority seed,CORE
nobuyoshi-araki-sentimental,Nobuyoshi Araki,,Sentimental Journey,Senchimentaru na Tabi,,,,Priority seed,S,1,,,,High,Priority seed,CORE
masahisa-fukase-ravens,Masahisa Fukase,,Ravens,Karasu | The Solitude of Ravens,,,,Priority seed,S,1,,,,High,Priority seed,CORE
eikoh-hosoe-kamaitachi,Eikoh Hosoe,,Kamaitachi,,,,,Priority seed,S,1,,,,High,Priority seed,CORE
eikoh-hosoe-barakei,Eikoh Hosoe,,Barakei,Killed by Roses,,,,Priority seed,S,1,,,,High,Priority seed,CORE
ed-ruscha-gasoline,Ed Ruscha,Edward Ruscha,Twentysix Gasoline Stations,Twenty-Six Gasoline Stations | Twenty Six Gasoline Stations | 26 Gasoline Stations,1963,,,Priority seed,S,0,,,,High,Priority seed,CORE
ed-ruscha-small-fires,Ed Ruscha,Edward Ruscha,Various Small Fires and Milk,Various Small Fires,,,,Priority seed,S,1,,,,High,Priority seed,CORE
ed-ruscha-apartments,Ed Ruscha,Edward Ruscha,Some Los Angeles Apartments,,,,,Priority seed,S,1,,,,High,Priority seed,CORE
ed-ruscha-sunset-strip,Ed Ruscha,Edward Ruscha,Every Building on the Sunset Strip,Sunset Strip,,,,Priority seed,S,1,,,,High,Priority seed,CORE
danny-lyon-bikeriders,Danny Lyon,,The Bikeriders,Bikeriders,,,,Priority seed,S,0,,,,High,Priority seed,CORE
danny-lyon-conversations,Danny Lyon,,Conversations with the Dead,,,,,Priority seed,S,1,,,,High,Priority seed,CORE
garry-winogrand-women,Garry Winogrand,,Women Are Beautiful,,,,,Priority seed,S,0,,,,High,Priority seed,CORE
garry-winogrand-public-relations,Garry Winogrand,,Public Relations,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
garry-winogrand-animals,Garry Winogrand,,The Animals,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
helen-levitt-way-seeing,Helen Levitt,,A Way of Seeing,,,,,Priority seed,S,1,,,,High,Priority seed,CORE
bruce-davidson-east-100th,Bruce Davidson,,East 100th Street,,,,,Priority seed,S,1,,,,High,Priority seed,CORE
lee-friedlander-self-portrait,Lee Friedlander,,Self Portrait,Self-Portrait,,,,Priority seed,S,1,,,,High,Priority seed,CORE
lee-friedlander-american-monument,Lee Friedlander,,The American Monument,,,,,Priority seed,S,1,,,,High,Priority seed,CORE
robert-adams-new-west,Robert Adams,,The New West,,1974,,,Priority seed,S,0,,,,High,Priority seed,CORE
lewis-baltz-industrial-parks,Lewis Baltz,,"The New Industrial Parks Near Irvine, California",New Industrial Parks Near Irvine California,,,,Priority seed,S,0,,,,High,Priority seed,CORE
becher-anonyme-skulpturen,Bernd and Hilla Becher,Bernd Becher | Hilla Becher,Anonyme Skulpturen,Anonymous Sculptures,,,,Priority seed,S,0,,,,High,Priority seed,CORE
new-topographics,William Jenkins,,New Topographics: Photographs of a Man-Altered Landscape,New Topographics,,,,Priority seed,S,0,,,,High,Priority seed,CORE
sultan-mandel-evidence,Larry Sultan and Mike Mandel,Larry Sultan | Mike Mandel,Evidence,,1977,,,Priority seed,S,0,,,,High,Priority seed,CORE
luigi-ghirri-kodachrome,Luigi Ghirri,,Kodachrome,,1978,,,Priority seed,S,0,,,,High,Priority seed,CORE
walker-evans-american-photographs,Walker Evans,,American Photographs,,1938,,,Priority seed,S,0,,,,High,Priority seed,CORE
decarava-flypaper,Roy DeCarava,Roy Decarava | Langston Hughes,The Sweet Flypaper of Life,Sweet Flypaper of Life,,,,Priority seed,S,0,,,,High,Priority seed,CORE
peter-beard-end-game,Peter Beard,,The End of the Game,End of the Game,,,,Priority seed,S,0,,,,High,Priority seed,CORE
irving-penn-moments,Irving Penn,,Moments Preserved,,1960,,,Priority seed,S,0,,,,High,Priority seed,CORE
mary-ellen-mark-falkland,Mary Ellen Mark,,Falkland Road: Prostitutes of Bombay,Falkland Road,,,,Priority seed,S,0,,,,High,Priority seed,CORE
bruce-weber-o-rio,Bruce Weber,,O Rio de Janeiro,O Rio,,,,Priority seed,S,0,,,,High,Priority seed,CORE
bruce-weber-bear-pond,Bruce Weber,,Bear Pond,,1990,,,Priority seed,S,0,,,,High,Priority seed,CORE
corinne-day-diary,Corinne Day,,Diary,,2000,,,Priority seed,S,0,,,,High,Priority seed,CORE
martin-parr-last-resort,Martin Parr,,The Last Resort,Last Resort,1986,,,Priority seed,S,0,,,,High,Priority seed,CORE
martin-parr-cost-living,Martin Parr,,The Cost of Living,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
martin-parr-small-world,Martin Parr,,Small World,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
martin-parr-common-sense,Martin Parr,,Common Sense,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
tom-wood-looking-love,Tom Wood,,Looking for Love,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
tom-wood-all-zones,Tom Wood,,All Zones Off Peak,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
chris-steele-perkins-teds,Chris Steele-Perkins,Chris Steele Perkins,The Teds,Teds,,,,Priority seed,A,1,,,,High,Priority seed,CORE
tony-ray-jones-day-off,Tony Ray-Jones,Tony Ray Jones,A Day Off,,,,,Priority seed,A,1,,,,High,Priority seed,CORE
