Canon,Contributor,Title,Roth year,Roth page,Publication statement,Physical description / ideal copy,Edition / issue note,Collector flags,Search tier,Evidence confidence,Parr/Badger overlap,PB volumes,PB page / refs,PB confidence,Source
Roth 101,Edward S. Curtis,"The North American Indian, Volume One",1907,36,"[Seattle]: Edward S. Curtis, 1907.","Folio; hand-pulled gravure plates; tissue guards; full-brown leather, stamped in gilt.",,,CORE,Very high,Yes,1,V1: 57-59,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Alvin Langdon Coburn,London,1909,38,"London: Duckworth & Co.; New York: Brentano’s, [1909].","Folio; twenty hand-pulled gravure plates, tipped in; gray paper-covered boards, stamped in gilt; leather spine.",,tipped in,CORE,Very high,Yes,1,"V1: 64, 74",Medium provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Alfred Stieglitz,"Camera Work, Number XXXVI",1911,40,"New York: Number XXXVI, 1911.","4to.; hand-pulled gravure plates, tipped in; printed gray wrappers.",,tipped in,CORE,Very high,Yes,1,V1: 91-3,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Paul Strand,"Camera Work, Number XLIX, Number L",1917,42,"New York: Number XLIX, Number L, 1917.","4to.; hand-pulled gravure plates, tipped in; printed gray wrappers.",,tipped in,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Laszlo Moholy-Nagy,Malerei Fotografie Film,1925,44,"Miinchen: Albert Langen Verlag, (1925)","Small 4to.; black-and-white photographs; photographically illustrated wrappers.","The second edition, issued in 1927, was textually identical to the first; it was bound in yellow cloth and issued with a dust jacket printed in imitation of the 1925 wrappers.","dust jacket; second edition",CORE,Very high,Yes,1,"V1: 97, 93, 99",High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Germaine Krull,Métal,1927,46,"Paris: Librairie des Arts Décoratifs.A. Calavas, Editeur, 68, rue La Fayette, [1927].","4to.; 64 gravure plates, unbound; one leaf folded to make four pages of text; laid in to photographically illustrated boards, cloth spine and ties.",,laid in,CORE,Very high,Yes,1,V1: 94-5,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Karl Blossfeldt,Urformen der Kunst,1928,48,"Berlin W8:Verlag Ernst Wasmuth A.G., [1928].","Folio; gravure plates; green cloth, stamped in gilt; photographically illustrated dust jacket.","6,000 copies, the entire edition; of which an unspecified number were bound with loose plates, in a cloth chemise.","dust jacket",CORE,Very high,Yes,1,V1: 96,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Albert Renger-Patzsch,Die Welt ist Schön,1928,50,"Miinchen: Kurt Wolff Verlag A.G., 1928.","4to.; black-and-white photographs; blue cloth, stamped in gilt; photographically illustrated dust jacket; printed belly band; cardboard slipcase.",,"dust jacket; slipcase; belly band",CORE,Very high,Yes,1,V1: 96-7,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,August Sander,Antlitz der Zeit,1929,52,"Miinchen: Transmare Verlag/ Kurt Wolff Verlag, (1929).","4to.; black-and-white photographs; yellow cloth; printed dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 120-1,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Edward Steichen and Carl Sandburg,Steichen The Photographer,1929,54,"New York: Harcourt, Brace and Company, (1929).","Small folio; frontispiece self-portrait by Steichen; black cloth, stamped in gilt.","925 numbered copies signed by Edward Steichen and Carl Sandburg, the entire edition.","signed; numbered",CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Ansel Adams,Taos Pueblo,1930,58,"San Francisco: (The Grabhorn Press), 1930.","Folio; 12 original black-and-white silver bromide photographs; orange cloth, ocher leather spine.","108 copies, the entire edition.",original photographs,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Eugène Atget,Atget Photographe de Paris,1930,60,"New York City: E. Weyhe, 1930.","4to.; gravure plates; captions printed in six-page gathering folded under plain leaf at rear pastedown; burgundy cloth, stamped in gilt; cardboard slipcase.","Published simultaneously in Paris and Leipzig by Henri Jonquiéres.",slipcase,CORE,Very high,Yes,1,V1: 127,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Claude Cahun,Aveux non Avenus,1930,62,"Paris: Editions du Carrefour, (1930).","Small 4to.; gravure plates; printed wrappers.","500 numbered copies, 525 copies, the entire edition.",numbered,CORE,Very high,No,,,,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
Roth 101,Frantisek Drtikol,Žena ve světle,1930,64,"Praha [Czechoslovakia]: E. Beaufort, (1930).","Small 4to.; black-and-white photographs; orange cloth, printed paper label affixed to cover; photographically illustrated dust jacket.",,dust jacket,CORE,Very high,Yes,1,V1: 79,High provisional,"Andrew Roth, The Book of 101 Books (2001), primary PDF"
